"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
2;"R1";"R_0805_2012Metric";1;"10KΩ";;;
3;"U5,U6";"DIP-24_W7.62mm";2;"MAX7219";;;
4;"H2,H3,H1,H4";"MountingHole_3.2mm_M3";4;"MountingHole";;;
5;"C6,C5";"C_0805_2012Metric";2;"22p";;;
6;"SW1";"RotaryEncoder_TT_EN11-Switch_Vertical_H20mm_CircularMountingHoles";1;"RotaryEncoder_Switch";;;
7;"R7";"R_0805_2012Metric";1;"R_0805_2.2K";;;
8;"C13,C3,C10,C4,C9,C1,C11";"C_0805_2012Metric";7;"C_0805_0.1uf";;;
9;"R6,R8";"R_0805_2012Metric";2;"R_0805_22K";;;
10;"A_TP1,DO_TP1,TX_TP1,VCC_TP1,RX_TP1,B_TP1,VBAT_TP1,TP_GND1";"TestPoint_THTPad_D2.0mm_Drill1.0mm";8;"TestPoint";;;
11;"U1";"TO-252-2";1;"L7805";;;
12;"R2,R4,R9,R5,R3";"R_0805_2012Metric";5;"R_0805_10K";;;
13;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal 16MHZ";;;
14;"D3";"LED_0805_2012Metric";1;"LED_0805";;;
15;"C7,C8";"C_0805_2012Metric";2;"C_0805_10uf";;;
16;"R12,R13";"R_0805_2012Metric";2;"R_0805_4.7K";;;
17;"DS1";"TC1602A-01T";1;"TC1602A-01T";;;
18;"U4";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
19;"C12,C2";"C_0805_2012Metric";2;"C_0805_1uf";;;
20;"U2";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
21;"RV1";"Potentiometer_Bourns_3386P_Vertical";1;"R_POT_10K";;;
22;"D2,D1";"KWM-30881CVB";2;"KWM-30881CVB";;;
23;"SW2";"SW_SPST_Omron_B3FS-100xP";1;"Omron_B3F_SPST";;;
24;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
25;"J1";"Wurth-694106402002";1;"Power_inlet_vertical";;;
26;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
27;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
